device,model,battery,charging,lat,lon,accuracy,source,place,place_type,locality,address,updated
Nat iPhone12mini,iPhone 12 mini,80,NotCharging,18.464717,99.05675,5,GPS,,,Mueang Lamphun District,"Mueang Lamphun District, Lamphun 51000",2026-02-27 08:04:17
Nat iPhone12mini,iPhone 12 mini,80,NotCharging,18.456181,99.057669,14,GPS,,,Mueang Lamphun District,"Mueang Lamphun District, Lamphun 51000",2026-02-27 08:09:47
Nat iPhone12mini,iPhone 12 mini,78,NotCharging,18.456107,99.087873,15,GPS,,,Mae Tha District,"Mae Tha District, Lamphun 51140",2026-02-27 08:14:32
Nat iPhone12mini,iPhone 12 mini,78,NotCharging,18.456107,99.087873,15,GPS,,,Mae Tha District,"Mae Tha District, Lamphun 51140",2026-02-27 08:14:32
Nat iPhone12mini,iPhone 12 mini,77,NotCharging,18.461019,99.137354,14,GPS,,,Mae Tha District,"Mae Tha District, Lamphun 51140",2026-02-27 08:18:36
Nat iPhone12mini,iPhone 12 mini,69,NotCharging,18.392756,99.265662,51,GPS,,,Hang Chat District,"Hang Chat District, Lampang 52190",2026-02-27 09:01:45
Nat iPhone12mini,iPhone 12 mini,67,NotCharging,18.364852,99.287066,23,GPS,,,Hang Chat District,"Hang Chat District, Lampang 52190",2026-02-27 09:07:09
Nat iPhone12mini,iPhone 12 mini,67,NotCharging,18.37956,99.305078,9,GPS,,,Hang Chat District,"Hang Chat District, Lampang 52190",2026-02-27 09:11:23
Nat iPhone12mini,iPhone 12 mini,65,NotCharging,18.348319,99.35155,328,unknown,,,Hang Chat District,"O Bo Cho. Lampang 3033 Road, Hang Chat, Hang Chat District, Lampang 52190",2026-02-27 09:17:35
Nat iPhone12mini,iPhone 12 mini,64,NotCharging,18.312283,99.413179,6,GPS,,,Mueang Lampang District,"Mueang Lampang District, Lampang 52100",2026-02-27 09:22:15
Nat iPhone12mini,iPhone 12 mini,63,NotCharging,18.281088,99.469882,8,GPS,,,Mueang Lampang District,"107 Rotfai Road, Sop Tui, Mueang Lampang District, Lampang 52100",2026-02-27 09:27:25
Nat iPhone12mini,iPhone 12 mini,62,NotCharging,18.275846,99.47753,5,GPS,,,Mueang Lampang District,"Mueang Lampang District, Lampang 52100",2026-02-27 09:32:24
Nat iPhone12mini,iPhone 12 mini,61,NotCharging,18.223882,99.515192,10,GPS,,,Mueang Lampang District,"Mueang Lampang District, Lampang 52000",2026-02-27 09:37:48
Nat iPhone12mini,iPhone 12 mini,59,NotCharging,18.202323,99.560287,494,unknown,,,Mae Tha District,"Mae Tha District, Lampang 52150",2026-02-27 09:43:23
Nat iPhone12mini,iPhone 12 mini,58,NotCharging,18.240787,99.596923,5,GPS,,,Mueang Lampang District,"Mueang Lampang District, Lampang 52000",2026-02-27 09:48:13
Nat iPhone12mini,iPhone 12 mini,57,NotCharging,18.256232,99.655373,14,GPS,,,Mae Mo District,"84 Moo 5, Mae Mo, Mae Mo District, Lampang 52220",2026-02-27 09:53:39
Nat iPhone12mini,iPhone 12 mini,55,NotCharging,18.264667,99.709782,5,GPS,,,Mae Mo District,"62 Soi Pracha Rat, Mae Mo, Mae Mo District, Lampang 52220",2026-02-27 09:58:27
Nat iPhone12mini,iPhone 12 mini,55,NotCharging,18.264667,99.709782,5,GPS,,,Mae Mo District,"62 Soi Pracha Rat, Mae Mo, Mae Mo District, Lampang 52220",2026-02-27 09:58:27
Nat iPhone12mini,iPhone 12 mini,54,NotCharging,18.277847,99.801018,8,GPS,,,Mae Mo District,"Mae Mo District, Lampang 52220",2026-02-27 10:06:25
Nat iPhone12mini,iPhone 12 mini,52,NotCharging,18.297822,99.86354,9,GPS,,,Mae Mo District,"Mae Mo District, Lampang 52220",2026-02-27 10:14:25
Nat iPhone12mini,iPhone 12 mini,52,NotCharging,18.297822,99.86354,9,GPS,,,Mae Mo District,"Mae Mo District, Lampang 52220",2026-02-27 10:14:25
Nat iPhone12mini,iPhone 12 mini,52,NotCharging,18.297822,99.86354,9,GPS,,,Mae Mo District,"Mae Mo District, Lampang 52220",2026-02-27 10:14:25
Nat iPhone12mini,iPhone 12 mini,0,Unknown,18.297822,99.86354,9,GPS,,,Mae Mo District,"Mae Mo District, Lampang 52220",2026-02-27 10:14:25
Nat iPhone12mini,iPhone 12 mini,49,NotCharging,18.211666,99.871989,5,GPS,,,Long District,"76 Rural Highway 4003, Ban Pin, Long District, Phrae 54150",2026-02-27 10:29:32
Nat iPhone12mini,iPhone 12 mini,48,NotCharging,18.194947,99.870168,26,GPS,,,Long District,"Long District, Phrae 54150",2026-02-27 10:32:30
Nat iPhone12mini,iPhone 12 mini,48,NotCharging,18.194947,99.870168,26,GPS,,,Long District,"Long District, Phrae 54150",2026-02-27 10:32:30
Nat iPhone12mini,iPhone 12 mini,0,Unknown,18.194947,99.870168,26,GPS,,,Long District,"Long District, Phrae 54150",2026-02-27 10:32:30
Nat iPhone12mini,iPhone 12 mini,46,NotCharging,18.096358,99.866883,2,GPS,,,Long District,"203 Thetsaban 2 Road, Ban Pin, Long District, Phrae 54150",2026-02-27 10:49:41
Nat iPhone12mini,iPhone 12 mini,45,NotCharging,18.096305,99.866846,9,GPS,,,Long District,"203 Thetsaban 2 Road, Ban Pin, Long District, Phrae 54150",2026-02-27 10:55:13
